Pseudo,Score du match Qatar - Equateur [Qatar],Score du match Qatar - Equateur [Equateur],Score du match Angleterre - Iran [Angleterre],Score du match Angleterre - Iran [Iran],Score du match Sénégal - Pays-Bas [Sénégal],Score du match Sénégal - Pays-Bas [Pays-Bas],Score du match Etats-Unis - Pays de Galles [Etats-Unis],Score du match Etats-Unis - Pays de Galles [Pays de Galles],Score du match Argentine - Arabie Saoudite [Argentine],Score du match Argentine - Arabie Saoudite [Arabie Saoudite],Score du match Danemark - Tunisie [Danemark],Score du match Danemark - Tunisie [Tunisie],Score du match Mexique - Pologne [Mexique],Score du match Mexique - Pologne [Pologne],Score du match France - Australie [France],Score du match France - Australie [Australie],Score du match Maroc - Croatie [Maroc],Score du match Maroc - Croatie [Croatie],Score du match Allemagne - Japon [Allemagne],Score du match Allemagne - Japon [Japon],Score du match Espagne - Costa Rica [Espagne],Score du match Espagne - Costa Rica [Costa Rica],Score du match Belgique - Canada [Belgique],Score du match Belgique - Canada [Canada],Score du match Suisse - Cameroun [Suisse],Score du match Suisse - Cameroun [Cameroun],Score du match Uruguay - Corée du Sud [Uruguay],Score du match Uruguay - Corée du Sud [Corée du Sud],Score du match Portugal - Ghana [Portugal],Score du match Portugal - Ghana [Ghana],Score du match Brésil - Serbie [Brésil],Score du match Brésil - Serbie [Serbie],Score du match Pays de Galles - Iran [Pays de Galles],Score du match Pays de Galles - Iran [Iran],Score du match Qatar - Sénégal [Qatar],Score du match Qatar - Sénégal [Sénégal],Score du match Pays-Bas - Equateur [Pays-Bas],Score du match Pays-Bas - Equateur [Equateur],Score du match Angleterre - Etats-Unis [Angleterre],Score du match Angleterre - Etats-Unis [Etats-Unis],Score du match Tunisie - Australie [Tunisie],Score du match Tunisie - Australie [Australie],Score du match Pologne - Arabie Saoudite [Pologne],Score du match Pologne - Arabie Saoudite [Arabie Saoudite],Score du match France - Danemark [France],Score du match France - Danemark [Danemark],Score du match Argentine - Mexique [Argentine],Score du match Argentine - Mexique [Mexique],Score du match Japon - Costa Rica [Japon],Score du match Japon - Costa Rica [Costa Rica],Score du match Belgique - Maroc  [Belgique],Score du match Belgique - Maroc  [Maroc],Score du match Croatie - Canada [Croatie],Score du match Croatie - Canada [Canada],Score du match Espagne - Allemagne [Espagne],Score du match Espagne - Allemagne [Allemagne],Score du match Cameroun - Serbie [Cameroun],Score du match Cameroun - Serbie [Serbie],Score du match Corée du Sud - Ghana [Corée du Sud],Score du match Corée du Sud - Ghana [Ghana],Score du match Brésil - Suisse [Brésil],Score du match Brésil - Suisse [Suisse],Score du match Portugal - Uruguay [Portugal],Score du match Portugal - Uruguay [Uruguay],Score du match Equateur - Sénégal [Equateur],Score du match Equateur - Sénégal [Sénégal],Score du match Pays-Bas - Qatar [Pays-Bas],Score du match Pays-Bas - Qatar [Qatar],Score du match Pays de Galles - Angleterre [Pays de Galles],Score du match Pays de Galles - Angleterre [Angleterre],Score du match Iran - Etats-Unis [Iran],Score du match Iran - Etats-Unis [Etats-Unis],Score du match Tunisie - France [Tunisie],Score du match Tunisie - France [France],Score du match Australie - Danemark [Australie],Score du match Australie - Danemark [Danemark],Score du match Pologne - Argentine [Pologne],Score du match Pologne - Argentine [Argentine],Score du match Arabie Saoudite - Mexique [Arabie Saoudite],Score du match Arabie Saoudite - Mexique [Mexique],Score du match Canada - Maroc  [Canada],Score du match Canada - Maroc  [Maroc],Score du match Croatie - Belgique [Croatie],Score du match Croatie - Belgique [Belgique],Score du match Japon - Espagne [Japon],Score du match Japon - Espagne [Espagne],Score du match Costa Rica - Allemagne [Costa Rica],Score du match Costa Rica - Allemagne [Allemagne],Score du match Corée du Sud - Portugal [Corée du Sud],Score du match Corée du Sud - Portugal [Portugal],Score du match Ghana - Uruguay [Ghana],Score du match Ghana - Uruguay [Uruguay],Score du match Cameroun - Brésil [Cameroun],Score du match Cameroun - Brésil [Brésil],Score du match Serbie - Suisse [Serbie],Score du match Serbie - Suisse [Suisse],Score du match Pays-Bas - Etats-Unis [Pays-Bas],Score du match Pays-Bas - Etats-Unis [Etats-Unis],Qualifié à la fin du match Pays-Bas - Etats-Unis,Score du match Angleterre - Sénégal [Angleterre],Score du match Angleterre - Sénégal [Sénégal],Qualifié à la fin du match Angleterre - Sénégal,Score du match Argentine - Australie [Argentine],Score du match Argentine - Australie [Australie],Qualifié à la fin du match Argentine - Australie,Score du match Japon - Croatie [Japon],Score du match Japon - Croatie [Croatie],Qualifié à la fin du match France - Pologne,Score du match France - Pologne [France],Score du match France - Pologne [Pologne],Qualifié à la fin du match Japon - Croatie,Score du match Maroc - Espagne [Maroc],Score du match Maroc - Espagne [Espagne],Qualifié à la fin du match Maroc - Espagne,Score du match Brésil - Corée du Sud [Brésil],Score du match Brésil - Corée du Sud [Corée du Sud],Qualifié à la fin du match Brésil - Corée du Sud,Score du match Portugal - Suisse [Portugal],Score du match Portugal - Suisse [Suisse],Qualifié à la fin du match Portugal - Suisse,Score du match Croatie - Brésil [Croatie],Score du match Croatie - Brésil [Brésil],Qualifié à la fin du match Croatie - Brésil,Score du match Pays-Bas - Argentine [Pays-Bas],Score du match Pays-Bas - Argentine [Argentine],Qualifié à la fin du match Pays-Bas - Argentine,Score du match Maroc - Portugal [Maroc],Score du match Maroc - Portugal [Portugal],Qualifié à la fin du match Maroc - Portugal,Score du match Angleterre - France [Angleterre],Score du match Angleterre - France [France],Qualifié à la fin du match Angleterre - France,Score du match Argentine - Croatie [Argentine],Score du match Argentine - Croatie [Croatie],Qualifié à la fin du match Argentine - Croatie,Score du match France - Maroc  [France],Score du match France - Maroc  [Maroc],Qualifié à la fin du match France - Maroc,Score du match Argentine - France [Argentine],Score du match Argentine - France [France],Qualifié à la fin du match Argentine - France,Score du match Croatie - Maroc  [Croatie],Score du match Croatie - Maroc  [Maroc],Qualifié à la fin du match Croatie - Maroc
JEY,1.0,2.0,2.0,0.0,1.0,1.0,1.0,2.0,3.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,2.0,0.0,3.0,0.0,3.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,3.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,Pays-Bas,0.0,0.0,Angleterre,2.0,0.0,Argentine,2.0,1.0,France,2.0,0.0,Japon,1.0,1.0,Maroc,2.0,0.0,Brésil,1.0,1.0,Suisse,1.0,2.0,Brésil,0.0,1.0,Argentine,0.0,2.0,Portugal,0.0,1.0,France,2.0,1.0,Argentine,3.0,0.0,France,1.0,1.0,France,2.0,0.0,Croatie
Trung Skywalker,2.0,1.0,3.0,1.0,0.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,1.0,3.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,2.0,1.0,1.0,1.0,3.0,0.0,2.0,1.0,1.0,1.0,2.0,0.0,3.0,1.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,0.0,1.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,0.0,2.0,1.0,2.0,0.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SecuChampion,0.0,1.0,3.0,0.0,1.0,2.0,0.0,2.0,7.0,0.0,2.0,1.0,2.0,0.0,2.0,1.0,1.0,3.0,4.0,0.0,3.0,0.0,4.0,0.0,1.0,1.0,3.0,1.0,4.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,1.0,2.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,0.0,2.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,Pays-Bas,2.0,2.0,Angleterre,2.0,0.0,Argentine,1.0,1.0,France,2.0,1.0,Japon,0.0,2.0,Espagne,2.0,0.0,Brésil,2.0,1.0,Portugal,1.0,2.0,Brésil,0.0,2.0,Argentine,0.0,2.0,Portugal,1.0,1.0,France,1.0,1.0,Croatie,2.0,0.0,France,0.0,3.0,France,1.0,0.0,Croatie
GBesse,1.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,4.0,0.0,2.0,0.0,3.0,2.0,7.0,0.0,2.0,5.0,4.0,2.0,5.0,1.0,4.0,3.0,1.0,3.0,2.0,1.0,4.0,0.0,5.0,2.0,2.0,0.0,0.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,0.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0,3.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,3.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,0.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,1.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,1.0,2.0,1.0,Pays-Bas,1.0,0.0,Angleterre,2.0,0.0,Argentine,2.0,1.0,France,3.0,0.0,Japon,1.0,0.0,Maroc,3.0,1.0,Brésil,2.0,0.0,Portugal,1.0,3.0,Brésil,1.0,2.0,Argentine,1.0,2.0,Portugal,0.0,3.0,France,1.0,1.0,Croatie,3.0,1.0,France,2.0,3.0,France,1.0,1.0,Croatie
Brice,1.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,5.0,0.0,2.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,4.0,0.0,2.0,0.0,3.0,1.0,2.0,2.0,1.0,0.0,4.0,1.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,Pays-Bas,1.0,1.0,Angleterre,3.0,0.0,Argentine,0.0,1.0,France,2.0,0.0,Croatie,0.0,1.0,Espagne,3.0,0.0,Brésil,1.0,0.0,Portugal,0.0,2.0,Brésil,0.0,1.0,Argentine,0.0,2.0,Portugal,0.0,1.0,France,1.0,0.0,Argentine,3.0,1.0,France,1.0,3.0,France,0.0,2.0,Maroc
Julien DevOps,1.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,4.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,0.0,3.0,1.0,3.0,0.0,2.0,2.0,2.0,1.0,3.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,Brésil,1.0,1.0,Argentine,1.0,2.0,Portugal,1.0,3.0,France,2.0,2.0,Croatie,2.0,1.0,France,1.0,2.0,France,0.0,1.0,Maroc
Rico,0.0,2.0,3.0,0.0,1.0,1.0,1.0,1.0,4.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,3.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,0.0,0.0,2.0,3.0,1.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,2.0,0.0,3.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,2.0,3.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,3.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,Pays-Bas,1.0,1.0,Sénégal,3.0,0.0,Argentine,1.0,1.0,France,2.0,0.0,Japon,2.0,1.0,Maroc,4.0,0.0,Brésil,2.0,0.0,Portugal,1.0,3.0,Brésil,1.0,1.0,Pays-Bas,0.0,3.0,Portugal,1.0,0.0,Angleterre,2.0,1.0,Argentine,1.0,0.0,France,1.0,3.0,France,1.0,3.0,Croatie
Quentin M,,,3.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,3.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,3.0,0.0,2.0,1.0,2.0,0.0,2.0,0.0,1.0,,,,2.0,0.0,Angleterre,,,,1.0,1.0,France,3.0,1.0,Croatie,2.0,1.0,Maroc,3.0,0.0,Brésil,2.0,1.0,Portugal,1.0,3.0,Brésil,1.0,2.0,Argentine,0.0,2.0,Portugal,0.0,2.0,France,1.0,0.0,Argentine,2.0,0.0,France,1.0,1.0,France,2.0,0.0,Croatie
Marc,,,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,0.0,Pays-Bas,2.0,0.0,Angleterre,2.0,0.0,Argentine,0.0,2.0,France,2.0,0.0,Croatie,0.0,2.0,Espagne,2.0,0.0,Brésil,2.0,0.0,Portugal,1.0,2.0,Brésil,1.0,2.0,Argentine,1.0,2.0,Portugal,1.0,2.0,France,2.0,1.0,Argentine,2.0,1.0,France,1.0,2.0,France,2.0,1.0,Croatie
JP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,0.0,2.0,5.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,0.0,1.0,2.0,3.0,2.0,2.0,0.0,2.0,1.0,4.0,2.0,2.0,2.0,1.0,1.0,4.0,1.0,2.0,1.0,2.0,0.0,1.0,3.0,1.0,2.0,3.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,0.0,3.0,1.0,4.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,0.0,Pays-Bas,2.0,0.0,Angleterre,1.0,0.0,Argentine,1.0,3.0,France,2.0,0.0,Croatie,1.0,3.0,Espagne,1.0,1.0,Brésil,2.0,1.0,Portugal,2.0,1.0,Croatie,1.0,1.0,Pays-Bas,1.0,2.0,Portugal,1.0,0.0,Angleterre,0.0,1.0,Croatie,1.0,0.0,France,7.0,7.0,France,1.0,0.0,Croatie
RemiS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,3.0,0.0,1.0,3.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,Pays-Bas,2.0,1.0,Angleterre,2.0,0.0,Argentine,0.0,1.0,France,3.0,0.0,Croatie,1.0,1.0,Espagne,3.0,0.0,Brésil,2.0,1.0,Portugal,1.0,2.0,Brésil,1.0,2.0,Argentine,0.0,1.0,Portugal,1.0,3.0,France,1.0,0.0,Argentine,3.0,0.0,France,1.0,2.0,France,1.0,0.0,Croatie
